name,amp,mass,material,library,bounciness,resonance,size
b04_whiskeybottle,0.1,1.25,glass,models_full.json,0.5,0.65,3
arflex_strips_sofa,0.01,220,fabric,models_core.json,0.2,0.65,5
b03_boat_fishing_02_null_11,0.1,2,metal,models_full.json,0.35,0.65,3
plate05,1,1,ceramic,models_full.json,0.625,0.65,2
bench,0.4,200,wood_medium,models_full.json,0.1,0.25,4
wood_board,0.3,0.6,wood_hard,models_full.json,0.2,0.65,4
camera_box,0.4,0.5,cardboard,models_full.json,0.6,0.65,3
toy_monkey_medium,0.25,0.75,ceramic,models_full.json,0.4,0.35,3
102_pepsi_can_12_fl_oz_vray,0.35,0.2,metal,models_full.json,0.2,0.65,2
h-shape_wood_block,0.2,0.1,wood_hard,models_core.json,0.2,0.15,1
half_circle_wood_block,0.2,0.1,wood_hard,models_core.json,0.2,0.15,1
pentagon_wood_block,0.2,0.1,wood_hard,models_core.json,0.2,0.15,1
t-shape_wood_block,0.2,0.1,wood_hard,models_core.json,0.2,0.15,1
square_wood_block,0.2,0.1,wood_hard,models_core.json,0.2,0.15,1
star_wood_block,0.2,0.1,wood_hard,models_core.json,0.2,0.15,1
rectangle_wood_block,0.2,0.1,wood_hard,models_core.json,0.2,0.15,1
l-shape_wood_block,0.2,0.1,wood_hard,models_core.json,0.2,0.15,1
lint_roller01,0.2,0.1,wood_hard,models_core.json,0.2,0.15,3
prim_sphere,0.3,4,metal,models_special.json,0.2,0.35,3
golf,0.3,0.25,plastic_hard,models_full.json,0.6,0.65,3
868580_pliers_max2016,0.4,0.5,metal,models_full.json,0.7,0.65,3
12_01_001,0.6,5,ceramic,models_full.json,0.2,0.65,3
b04_stitch_result_stitch_all,0.1,0.3,metal,models_full.json,0.7,0.65,3
cassette,0.1,0.2,plastic_hard,models_full.json,0.5,0.65,1
motorcycle_helmet_3,0.3,2.5,plastic_hard,models_full.json,0.4,0.65,3
vk0056_tablefork,0.5,0.2,metal,models_full.json,0.6,0.65,3
coffeemug,0.4,0.5,ceramic,models_full.json,0.6,0.65,3
acoustic_guitar,0.4,1,wood_medium,models_full.json,0.3,0.65,3
b05_s_jams_01,0.2,0.6,glass,models_full.json,0.1,0.65,3
b02_lock,0.5,1,metal,models_full.json,0.5,0.65,3
pan03,0.6,1,metal,models_full.json,0.6,0.65,3
b03_pen_4colours,0.2,0.2,plastic_hard,models_full.json,0.7,0.65,3
b04_catia_stl,0.2,0.7,cardboard,models_full.json,0.6,0.65,3
hammer,0.3,2,metal,models_full.json,0.4,0.65,3
nature_stone_014,0.01,400,stone,models_full.json,0.1,0.1,3
satiro_sculpture,0.01,100,stone,models_core.json,0.1,0.65,5
scissors_2014,0.3,1,metal,models_full.json,0.4,0.65,3
b03_cocacola_can_cage,0.4,0.5,metal,models_full.json,0.3,0.85,1
dwr_wood_barstool,0.5,25,wood_hard,models_full.json,0.2,0.65,3
glass1,0.7,0.5,glass,models_core.json,0.6,1.1,2
b05_tag_heuer_max2014,0.3,0.4,metal,models_full.json,0.3,0.65,3
cucharon_utensilios,0.5,0.25,metal,models_full.json,0.5,0.65,3
salt_shaker,0.4,0.4,wood_hard,models_full.json,0.5,0.65,3
peppermill,0.4,0.4,wood_hard,models_full.json,0.5,0.65,3
tray_02,0.7,0.3,wood_hard,models_full.json,0.4,0.85,3
vk0060_dessertspoon,0.6,0.2,metal,models_full.json,0.6,0.65,3
b03_toothbrush,0.3,0.2,plastic_hard,models_full.json,0.4,0.25,3
kettle,0.6,0.6,metal,models_core.json,0.5,0.65,3
b04_plastic_bucket,0.7,0.5,plastic_hard,models_full.json,0.6,0.65,3
b04_baseball_bat,0.4,1.25,wood_hard,models_full.json,0.3,0.65,3
candlestick1,0.5,2,metal,models_full.json,0.4,0.65,3
b05_executive_pen,0.2,0.1,metal,models_full.json,0.6,0.65,3
cgaxis_models_65_14_vray,0.1,0.4,cardboard,models_full.json,0.1,0.65,3
b03_djembe,0.6,2,wood_hard,models_full.json,0.3,0.65,3
b05_calculator,0.3,0.2,metal,models_full.json,0.6,0.65,3
alma_floor_lamp,0.3,2,wood_medium,models_core.json,0.4,0.65,3
bakerparisfloorlamp03,0.3,2,metal,models_core.json,0.4,0.65,3
b03_oscar_statue,0.5,3,metal,models_full.json,0.2,0.65,3
dark_red_club_chair,0.1,20,leather,models_core.json,0.6,0.45,4
white_club_chair,0.1,20,leather,models_core.json,0.6,0.45,4
printer_hp_laserjet1321,0.01,0.5,cardboard,models_core.json,0.7,0.65,3
hp_printer,0.01,0.5,cardboard,models_core.json,0.7,0.65,3
chair_billiani_doll,0.02,35,wood_medium,models_core.json,0.58,0.45,3
macbook_air,0.01,0.2,cardboard,models_core.json,0.7,0.65,3
dining_room_table,0.01,250,wood_soft,models_core.json,0.58,0.35,4
framed_painting,0.2,0.5,glass,models_core.json,0.6,0.65,3
flat_woven_rug,0.01,3,fabric,models_core.json,0.2,0.1,3
side_table_wood,0.5,150,wood_medium,models_core.json,0.6,0.65,4
de_castelli_placas_table_low,0.5,150,wood_medium,models_core.json,0.6,0.65,4
table_stack,0.5,200,wood_medium,models_core.json,0.6,0.65,3
black_lamp,1,5,metal,models_core.json,0.35,0.65,3
poliform_atollo_curved_sofa,0.01,220,fabric,models_core.json,0.2,0.1,5
arco_lamp,1,2,metal,models_core.json,0.35,0.65,3
arturoalvarez_v_floor_lamp,0.3,5,metal,models_core.json,0.4,0.65,3
alivar_tech_bench_sofa,0.01,150,fabric,models_core.json,0.2,0.1,5
meridiani_belmondo_bench_sofa,0.01,150,fabric,models_core.json,0.2,0.1,5
molteni_turner_sofa,0.01,150,fabric,models_core.json,0.2,0.1,5
bastone_floor_lamp,0.3,5,metal,models_core.json,0.4,0.65,3
woven_box,0.1,0.6,wood_soft,models_core.json,0.2,0.65,3
sayonara_sofa,0.01,220,fabric,models_core.json,0.2,0.1,5
rope_table_lamp,0.014,1,metal,models_core.json,0.35,0.65,3
kevin_reilly_pattern_table_lamp,0.014,1,metal,models_core.json,0.35,0.65,3
cerno_lamp,0.014,1,metal,models_core.json,0.35,0.65,3
napoleon_iii_sofa,0.01,90,cardboard,models_core.json,0.2,0.1,5
blue_side_chair,0.1,20,wood_medium,models_core.json,0.6,0.35,4
rh10,0.1,4,wood_medium,models_core.json,0.58,0.65,3
rh18,0.1,4,wood_medium,models_core.json,0.58,0.65,3
rh1,0.1,4,wood_medium,models_core.json,0.58,0.65,3
sm_table_white,0.1,130,ceramic,models_core.json,0.625,0.65,4
vitra_meda_chair,0.02,35,plastic_hard,models_core.json,0.58,0.35,4
jug05,0.1,3,ceramic,models_core.json,0.6,0.85,3
trunck,0.01,275,wood_medium,models_core.json,0.58,0.65,3
arflex_hollywood_sofa,0.01,220,fabric,models_core.json,0.2,0.1,5
duffle_bag,0.02,10,fabric,models_core.json,0.5,0.35,3
duffle_bag_sm,0.02,5,fabric,models_core.json,0.5,0.35,3
hiker_backpack,0.02,5,leather,models_core.json,0.5,0.35,3
shark,0.01,0.1,fabric,models_core.json,0.7,0.35,3
coffee_table_glass_round,0.1,80,glass,models_core.json,0.5,0.65,3
puzzle_box_composite,0.05,0.2,wood_hard,models_core.json,0.2,0.65,3
jigsaw_puzzle_composite,0.05,0.2,wood_hard,models_core.json,0.2,0.65,3
bed01_blue,0.01,250,fabric,models_core.json,0.2,0.15,5
bed01_red,0.01,250,fabric,models_core.json,0.2,0.15,5
bed01,0.01,250,fabric,models_core.json,0.2,0.15,5
24_in_wall_cabinet_white_wood,0.01,70,wood_soft,models_core.json,0.58,0.25,4
cabinet_24_two_drawer_white_wood,0.01,70,wood_soft,models_core.json,0.58,0.25,4
pot,0.2,12,ceramic,models_core.json,0.625,0.65,4
linen_dining_chair,0.02,35,wood_medium,models_core.json,0.58,0.4,4
fork1,0.6,0.2,metal,models_core.json,0.6,0.65,2
white_lounger_chair,0.1,20,wood_medium,models_core.json,0.6,0.4,4
tan_lounger_chair,0.1,20,wood_medium,models_core.json,0.6,0.4,4
pillow03,0.01,1,fabric,models_core.json,0.2,0.1,3
glass2,0.7,2,glass,models_core.json,0.6,1.15,2
dishwasher_4,0.01,300,metal,models_core.json,0.35,0.65,4
carpet_rug,0.01,3,fabric,models_core.json,0.2,0.65,3
pillow01,0.01,1,fabric,models_core.json,0.2,0.65,3
elf_painting,0.2,0.5,wood_medium,models_core.json,0.6,0.65,3
toaster_002,0.3,2,metal,models_core.json,0.4,0.65,3
fridge_large,0.01,300,metal,models_core.json,0.35,0.5,5
its_about_time_painting,0.2,0.5,glass,models_core.json,0.6,0.65,3
cabinet_full_height_white_wood,0.01,70,wood_soft,models_core.json,0.58,0.25,5
blue_satchal,0.01,1,leather,models_core.json,0.2,0.45,3
skillet_closed,0.2,12,ceramic,models_core.json,0.625,0.65,3
appliance-ge-profile-microwave3,0.1,20,metal,models_core.json,0.625,0.65,3
pencil_all,0.2,0.2,wood_soft,models_core.json,0.5,0.65,3
36_in_wall_cabinet_white_wood,0.01,70,wood_soft,models_core.json,0.58,0.25,4
cabinet_36_white_wood,0.01,70,wood_soft,models_core.json,0.58,0.35,4
glass_coffee_table_long,0.6,200,glass,models_core.json,0.6,0.76,4
blue_rug,0.01,3,fabric,models_core.json,0.2,0.1,3
jug01,0.6,3,ceramic,models_core.json,0.6,0.85,3
metal_briefcase,0.01,4,metal,models_core.json,0.4,0.65,3
pillow02,0.01,1,fabric,models_core.json,0.2,0.1,3
notes_02,0.01,1,cardboard,models_core.json,0.2,0.1,3
coffee_001,0.01,1,ceramic,models_core.json,0.2,0.65,3
purple_woven_rug,0.01,3,fabric,models_core.json,0.2,0.1,3
vase_01,0.6,3,ceramic,models_core.json,0.6,0.85,2
salt,0.4,0.4,wood_hard,models_core.json,0.5,0.65,3
knife1,0.6,0.2,metal,models_core.json,0.6,0.65,1
minotti_helion_3_seater_sofa,0.01,90,cardboard,models_core.json,0.2,0.1,5
fruit_basket,0.01,1,cardboard,models_core.json,0.2,0.35,3
kids_luggage_1,0.02,5,fabric,models_core.json,0.5,0.65,3
pepper,0.4,0.4,wood_hard,models_core.json,0.5,0.65,3
silver_frame_painting,0.2,0.5,glass,models_core.json,0.6,0.65,3
cabinet_24_white_wood,0.01,70,wood_medium,models_core.json,0.58,0.5,4
ligne_roset_armchair,0.1,40,wood_medium,models_core.json,0.6,0.65,4
linbrazil_diz_armchair,0.1,40,wood_medium,models_core.json,0.6,0.65,4
white_shopping_bag,0.01,1,fabric,models_core.json,0.2,0.65,3
sink_base_white_wood,0.01,70,wood_soft,models_core.json,0.58,0.65,5
sink_base_wood_beach_honey,0.01,70,wood_medium,models_core.json,0.58,0.65,5
spatula2,1,0.13,cardboard,models_full.json,0.7,0.65,3
soup_ladle_black_02,1,0.13,cardboard,models_core.json,0.7,0.65,3
lapalma_stil_chair,0.1,40,wood_medium,models_core.json,0.6,0.65,4
club_house_italia_nautilus_sofa,0.01,180,cardboard,models_core.json,0.2,0.65,5
meridiani_freeman_sofa,0.01,180,fabric,models_core.json,0.2,0.65,5
aquostv,0.1,8,plastic_hard,models_core.json,0.7,0.65,3
de_castelli_placas_table,0.01,250,wood_medium,models_full.json,0.58,0.65,4
24_in_wall_cabinet_wood_beach_honey,0.01,70,wood_medium,models_core.json,0.58,0.5,4
cabinet_24_two_drawer_wood_beach_honey,0.01,70,wood_medium,models_core.json,0.58,0.5,4
cabinet_24_wood_beach_honey,0.01,70,wood_medium,models_core.json,0.58,0.5,4
cabinet_36_wood_beach_honey,0.01,70,wood_medium,models_core.json,0.58,0.5,4
cabinet_full_height_wood_beach_honey,0.01,150,wood_medium,models_core.json,0.58,0.5,5
emeco_navy_chair,0.1,20,wood_medium,models_core.json,0.6,0.45,4
basket_18inx18inx12iin,0.02,5,cardboard,models_core.json,0.5,0.65,3
basket_18inx18inx12iin_bamboo,0.02,5,cardboard,models_core.json,0.5,0.65,4
basket_18inx18inx12iin_plastic_lattice,0.02,5,plastic_soft_foam,models_core.json,0.5,0.65,4
basket_18inx18inx12iin_wicker,0.02,5,plastic_soft_foam,models_core.json,0.5,0.65,4
basket_18inx18inx12iin_wood_mesh,0.02,5,wood_soft,models_core.json,0.5,0.65,4
box_18inx18inx12in_cardboard,0.02,5,cardboard,models_core.json,0.5,0.65,4
box_24inx18inx12in_cherry,0.02,5,wood_medium,models_core.json,0.5,0.65,3
box_tapered_beech,0.02,5,wood_medium,models_core.json,0.5,0.65,3
box_tapered_white_mesh,0.02,5,cardboard,models_core.json,0.5,0.65,3
round_bowl_large_metal_perf,0.02,5,metal,models_core.json,0.5,0.65,4
round_bowl_large_padauk,0.02,5,wood_medium,models_core.json,0.5,0.65,4
round_bowl_large_thin,0.02,5,cardboard,models_core.json,0.5,0.65,4
round_bowl_small_beech,0.02,5,wood_medium,models_core.json,0.5,0.65,4
round_bowl_small_walnut,0.02,5,wood_medium,models_core.json,0.5,0.65,4
round_bowl_talll_wenge,0.02,5,wood_hard,models_core.json,0.5,0.65,4
shallow_basket_white_mesh,0.02,5,plastic_soft_foam,models_core.json,0.5,0.65,4
shallow_basket_wicker,0.02,5,cardboard,models_core.json,0.5,0.65,3
baking_sheet01,0.2,0.5,metal,models_core.json,0.6,0.65,3
baking_sheet02,0.2,0.5,metal,models_core.json,0.6,0.65,3
baking_sheet03,0.2,0.5,metal,models_core.json,0.6,0.65,3
baking_sheet04,0.2,0.5,metal,models_core.json,0.6,0.65,3
baking_sheet05,0.2,0.5,metal,models_core.json,0.6,0.65,3
baking_sheet06,0.2,0.5,metal,models_core.json,0.6,0.65,3
baking_sheet07,0.2,0.5,metal,models_core.json,0.6,0.65,3
baking_sheet08,0.2,0.5,metal,models_core.json,0.6,0.65,3
baking_sheet09,0.2,0.5,metal,models_core.json,0.6,0.65,3
baking_sheet10,0.2,0.5,metal,models_core.json,0.6,0.65,3
balance_double_doghouse,0.5,100,wood_soft,models_core.json,0.6,0.65,3
metal_sculpture,0.01,100,metal,models_core.json,0.1,0.65,3
baleri_italia_folded_black_table,0.2,150,wood_medium,models_core.json,0.6,0.65,4
willisau_varion_w3_table,0.2,150,wood_medium,models_core.json,0.6,0.65,4
barcelona_bench_sofa,0.01,90,fabric,models_core.json,0.2,0.1,4
bow_rake,0.2,12,ceramic,models_core.json,0.625,0.1,3
lawnmower,0.01,300,metal,models_core.json,0.35,0.1,3
naughtone_pinch_stool_chair,0.02,35,wood_medium,models_core.json,0.58,0.65,4
round_bowl_large_metal_perf,1,2,metal,models_core.json,0.625,0.65,3
shallow_basket_white_mesh,0.02,5,cardboard,models_core.json,0.5,0.65,3
servingfork,0.5,0.2,metal,models_core.json,0.6,0.65,3
4ft_shelf_metal,0.2,20,metal,models_core.json,0.6,0.65,3
skillet_open,0.2,12,ceramic,models_core.json,0.625,0.65,3
fork2,0.6,0.2,metal,models_core.json,0.6,0.65,2
fork3,0.6,0.2,metal,models_core.json,0.6,0.65,2
fork4,0.6,0.2,metal,models_core.json,0.6,0.65,2
knife2,0.6,0.2,metal,models_core.json,0.6,0.65,1
knife3,0.6,0.2,metal,models_core.json,0.6,0.65,1
spoon2,0.6,0.2,metal,models_core.json,0.6,0.65,3
juicer,0.01,1,ceramic,models_core.json,0.2,0.65,3
9v_battery,0.2,0.2,metal,models_core.json,0.3,0.35,0
aaa_battery,0.2,0.1,metal,models_core.json,0.6,0.65,0
tapered_cork_w_hole,0.2,0.05,cardboard,models_core.json,0.6,0.65,0
tapered_cork,0.2,0.05,cardboard,models_core.json,0.6,0.65,0
cork_plastic_black,0.2,0.05,cardboard,models_core.json,0.6,0.65,0
cork_plastic,0.2,0.05,cardboard,models_core.json,0.6,0.65,0
champagne_cork,0.2,0.05,cardboard,models_core.json,0.6,0.65,0
bung,0.2,0.05,cardboard,models_core.json,0.6,0.65,0
basic_cork_2,0.2,0.1,cardboard,models_core.json,0.4,0.25,0
basic_cork,0.2,0.05,cardboard,models_core.json,0.6,0.65,0
button_two_hole_red_wood,0.2,0.05,wood_hard,models_core.json,0.6,0.65,0
button_two_hole_red_mottled,0.2,0.05,cardboard,models_core.json,0.6,0.65,0
button_two_hole_grey,0.2,0.05,cardboard,models_core.json,0.6,0.65,0
button_two_hole_green_mottled,0.2,0.05,cardboard,models_core.json,0.6,0.65,0
button_four_hole_wood,0.2,0.05,wood_hard,models_core.json,0.6,0.65,0
button_four_hole_white_plastic,0.2,0.05,cardboard,models_core.json,0.6,0.65,0
button_four_hole_red_plastic,0.2,0.05,cardboard,models_core.json,0.4,0.5,0
button_four_hole_mottled,0.2,0.05,cardboard,models_core.json,0.6,0.65,0
button_four_hole_large_wood,0.2,0.05,wood_hard,models_core.json,0.6,0.65,0
button_four_hole_large_black,0.2,0.05,cardboard,models_core.json,0.6,0.65,0
square_coaster_wood,0.2,0.3,wood_hard,models_core.json,0.6,0.65,1
square_coaster_rubber,0.2,0.2,cardboard,models_core.json,0.6,0.65,1
square_coaster_stone,0.2,0.4,ceramic,models_core.json,0.6,0.65,1
square_coaster_001_marble,0.2,0.4,ceramic,models_core.json,0.6,0.65,1
square_coaster_001_wood,0.2,0.3,wood_hard,models_core.json,0.6,0.35,1
square_coaster_001_cork,0.2,0.2,cardboard,models_core.json,0.6,0.65,1
round_coaster_stone_dark,0.2,0.4,ceramic,models_core.json,0.6,0.65,1
round_coaster_stone,0.2,0.2,ceramic,models_core.json,0.6,0.65,1
round_coaster_indent_wood,0.2,0.3,wood_hard,models_core.json,0.6,0.65,1
round_coaster_indent_stone,0.2,0.4,ceramic,models_core.json,0.6,0.65,1
round_coaster_indent_rubber,0.2,0.2,cardboard,models_core.json,0.6,0.65,1
round_coaster_cherry,0.2,0.2,wood_hard,models_core.json,0.3,0.65,1
shoebox_fused,0.2,0.4,cardboard,models_core.json,0.6,0.65,3
key_brass,0.2,0.2,metal,models_core.json,0.6,0.5,0
key_dull_metal,0.2,0.35,metal,models_core.json,0.6,0.65,0
key_shiny,0.2,0.35,metal,models_core.json,0.6,0.65,0
36_in_wall_cabinet_wood_beach_honey,0.01,70,wood_soft,models_core.json,0.58,0.25,4
green_bag,0.01,1,wood_medium,models_core.json,0.2,0.45,3
vase_03,1,5,ceramic,models_core.json,0.6,0.85,2
vase_05,1,5,ceramic,models_core.json,0.6,0.85,2
wood_chair,0.1,20,wood_soft,models_core.json,0.6,0.65,4
skillet_open_no_lid,0.2,12,metal,models_core.json,0.625,0.65,3
microwave,0.1,20,metal,models_core.json,0.625,0.65,3
bork_vacuum,0.1,8,metal,models_core.json,0.6,0.65,3
